stock1,stock2,corr,pvalue,beta,half_life,vol,zscore,score,capital
1802.T,8830.T,0.973,0.015,1.046,4.05,0.0363,-1.56,364.86,859600
2897.T,6586.T,0.836,0.0174,0.445,4.3,0.0305,-0.33,364.67,857700
2897.T,4005.T,0.83,0.0175,0.538,4.02,0.0308,-0.38,364.5,355509
2503.T,8334.T,0.88,0.0142,0.446,4.86,0.0306,-0.26,361.36,484050
8053.T,8411.T,0.961,0.0122,0.927,3.76,0.0322,-0.53,359.32,1285900
6752.T,8031.T,0.966,0.0105,0.864,3.86,0.0422,2.36,358.69,905350
8001.T,9531.T,0.884,0.0468,0.522,4.86,0.0319,-0.52,357.59,899200
4188.T,7203.T,0.933,0.0222,1.319,3.44,0.0348,1.05,356.36,429409
2503.T,8630.T,0.87,0.0394,0.565,4.84,0.0321,0.53,356.02,850300
2897.T,6305.T,0.834,0.0219,0.347,4.21,0.0304,-0.01,353.09,867500
3402.T,6723.T,0.937,0.0108,0.583,3.25,0.0359,-1.16,352.78,388400
3092.T,4704.T,0.876,0.045,0.445,3.92,0.0332,-0.6,350.6,646150
2503.T,6302.T,0.853,0.0135,0.401,6.0,0.0339,0.79,348.5,781600
5020.T,8354.T,0.973,0.0221,0.991,3.47,0.0324,-0.29,348.1,797900
3402.T,6302.T,0.946,0.0289,0.681,3.67,0.0329,-0.41,347.34,636650
3402.T,6326.T,0.932,0.0252,0.716,3.6,0.0353,-0.87,344.8,390050
4523.T,7762.T,0.789,0.0256,0.221,5.49,0.0328,-0.46,344.59,664500
8053.T,8306.T,0.958,0.0056,1.343,3.61,0.0354,-0.84,343.61,891900
8002.T,8334.T,0.982,0.0153,1.307,2.74,0.0329,-0.21,342.92,825750
6301.T,6305.T,0.962,0.0209,1.143,5.19,0.0421,1.98,341.51,1266900
2503.T,8002.T,0.871,0.0096,0.331,5.77,0.032,-0.1,339.23,861900
2503.T,6503.T,0.865,0.0051,0.456,4.7,0.0332,-0.36,339.0,846000
8002.T,8354.T,0.976,0.0219,1.094,3.51,0.0346,0.54,338.75,1256700
6586.T,6971.T,0.942,0.0367,0.978,3.58,0.0348,-0.58,338.25,812450
5019.T,8334.T,0.963,0.0176,1.013,3.51,0.0339,0.34,336.69,377550
1812.T,8306.T,0.923,0.0395,1.151,4.33,0.0421,-1.83,336.31,899900
2503.T,8354.T,0.862,0.0284,0.369,5.71,0.0321,0.05,335.85,915000
6302.T,6971.T,0.963,0.0041,1.38,2.85,0.0386,-1.16,335.72,779750
3407.T,6302.T,0.966,0.0447,0.879,4.02,0.0351,-0.5,331.48,678850
